occurrence_date,municipality,fsa,latitude,longitude
2025-03-10 18:30:00,King,L7E,43.940687,-79.739159
2025-08-11 17:34:00,King,L7E,43.888031,-79.71839
2025-07-04 04:30:00,King,L0G,43.969986,-79.694324
2025-04-17 21:51:00,King,L0G,44.004876,-79.687968
2024-10-12 16:00:00,King,L0G,44.005031,-79.684316
2025-06-01 01:57:00,King,L0G,44.005031,-79.684316
2025-03-28 03:06:00,King,L0G,43.998132,-79.680321
2024-08-25 20:00:00,King,L0G,43.900482,-79.670004
2024-08-25 07:52:00,King,L0G,43.900906,-79.668483
2024-12-29 06:50:00,King,L0G,43.906649,-79.665716
2025-07-12 20:00:00,King,L0G,43.898835,-79.663678
2025-06-18 17:04:00,King,L0G,43.910815,-79.661772
2025-02-22 01:42:00,King,L0G,43.903747,-79.661839
2024-10-08 20:00:00,Vaughan,L4H,43.837378,-79.663118
2024-11-26 00:09:00,Vaughan,L4H,43.837378,-79.663118
2024-10-06 05:38:00,King,L0G,43.894991,-79.660699
2025-03-05 13:06:00,King,L0G,43.893258,-79.660126
2024-09-20 21:30:00,Vaughan,L4H,43.832585,-79.659721
2024-11-27 22:24:00,King,L0G,43.895587,-79.658279
2024-11-24 04:12:00,Vaughan,L4H,43.846407,-79.659063
2024-12-12 22:31:00,King,L0G,43.898872,-79.657397
2024-12-07 00:42:00,King,L0G,43.911917,-79.656997
2025-07-14 05:54:00,King,L0G,43.907037,-79.656557
2024-09-21 14:41:00,Vaughan,L4H,43.834468,-79.658071
2025-05-31 04:00:00,Vaughan,L4H,43.832522,-79.65709
2025-06-11 15:59:00,Vaughan,L4H,43.835893,-79.655653
2025-05-28 13:00:00,King,L0G,43.906612,-79.653651
2024-08-31 00:19:00,Vaughan,L4H,43.842818,-79.65498
2025-05-22 15:33:00,Vaughan,L4H,43.842818,-79.65498
2025-07-20 22:25:00,Vaughan,L4H,43.83788,-79.654311
2024-10-22 20:05:00,King,L0G,43.915085,-79.651805
2024-11-04 23:22:00,King,L0G,43.915085,-79.651805
2024-08-23 01:35:00,Vaughan,L4H,43.827567,-79.653684
2025-01-08 08:30:00,Vaughan,L4H,43.832472,-79.653515
2024-08-25 15:07:00,Vaughan,L4H,43.837146,-79.653324
2024-11-28 21:37:00,Vaughan,L4H,43.829105,-79.652592
2025-06-22 05:50:00,Vaughan,L4H,43.836008,-79.652195
2024-08-20 17:30:00,King,L0G,43.904043,-79.650066
2024-08-15 16:30:00,Vaughan,L4H,43.827743,-79.651313
2025-01-01 08:48:00,King,L0G,43.916663,-79.647861
2024-12-27 18:00:00,Vaughan,L4H,43.828644,-79.649727
2024-08-10 06:00:00,Vaughan,L4H,43.830742,-79.64955
2025-03-07 01:53:00,King,L0G,43.980123,-79.645702
2025-03-13 07:30:00,Vaughan,L4H,43.834935,-79.647781
2025-03-01 00:34:00,King,L0G,43.912868,-79.64461
2024-12-04 23:15:00,King,L0G,43.906193,-79.64473
2024-07-14 02:35:00,Vaughan,L0J,43.839535,-79.645353
2025-05-12 00:41:00,Vaughan,L4H,43.830119,-79.645435
2025-03-14 04:00:00,King,L0G,43.909274,-79.643241
2024-12-18 00:47:00,Vaughan,L0J,43.84997,-79.643098
2025-07-14 07:34:00,Vaughan,L0J,43.857186,-79.642071
2024-11-29 22:30:00,King,L0G,43.908666,-79.640638
2024-08-22 02:16:00,Vaughan,L0J,43.850436,-79.641947
2025-07-01 07:27:00,Vaughan,L0J,43.832571,-79.641748
2024-12-25 02:25:00,King,L0G,43.915007,-79.639519
2025-06-04 00:46:00,Vaughan,L0J,43.828982,-79.640797
2024-12-11 22:40:00,King,L0G,43.90909,-79.638719
2025-04-12 02:13:00,King,L0G,43.90909,-79.638719
2024-09-15 20:00:00,Vaughan,L0J,43.853457,-79.637467
2024-12-06 22:15:00,Vaughan,L0J,43.83539,-79.636973
2024-11-16 23:45:00,Vaughan,L0J,43.835592,-79.635895
2024-11-19 23:27:00,Vaughan,L0J,43.847042,-79.630509
2025-03-15 18:15:00,Vaughan,L4H,43.807314,-79.63018
2025-06-25 23:07:00,Vaughan,L4H,43.807314,-79.63018
2024-08-29 16:00:00,Vaughan,L4H,43.820402,-79.627948
2024-11-14 05:00:00,Vaughan,L4H,43.821269,-79.627307
2024-11-07 18:57:00,Vaughan,L0J,43.844374,-79.626567
2024-11-30 23:11:00,Vaughan,L0J,43.844374,-79.626567
2024-07-07 02:00:00,King,L7B,43.991894,-79.623118
2024-12-31 19:32:00,King,L7B,43.991894,-79.623118
2025-02-13 00:39:00,King,L7B,43.991894,-79.623118
2025-08-13 08:12:00,Vaughan,L4H,43.803822,-79.626056
2024-08-02 04:00:00,Vaughan,L4H,43.813976,-79.623319
2025-05-16 09:33:00,Vaughan,L4H,43.835752,-79.622483
2025-02-24 01:20:00,Vaughan,L4L,43.789106,-79.623022
2024-07-31 04:00:00,Vaughan,L4H,43.837206,-79.621247
2024-12-06 01:02:00,Vaughan,L0J,43.866131,-79.619834
2024-07-05 13:50:00,Vaughan,L4H,43.814442,-79.620911
2025-06-27 02:40:00,Vaughan,L4L,43.794309,-79.620712
2024-09-27 04:01:00,Vaughan,L4L,43.810394,-79.619445
2024-11-09 05:01:00,Vaughan,L0J,43.862507,-79.617311
2024-10-25 22:30:00,Vaughan,L4L,43.783679,-79.617868
2025-03-09 03:54:00,Vaughan,L4H,43.781661,-79.61779
2025-08-09 15:15:00,Vaughan,L4H,43.799389,-79.617355
2024-08-27 06:43:00,Vaughan,L4H,43.798609,-79.617266
2025-01-18 13:15:00,King,L0G,43.950136,-79.612693
2024-12-06 15:24:00,Vaughan,L4H,43.812188,-79.615873
2024-12-13 22:25:00,King,L7B,44.006456,-79.610886
2024-09-06 17:24:00,Vaughan,L4H,43.816618,-79.615247
2024-09-08 09:26:00,Vaughan,L4H,43.816618,-79.615247
2024-08-26 00:15:00,Vaughan,L4H,43.798743,-79.615592
2025-03-14 21:30:00,Vaughan,L4H,43.798743,-79.615592
2025-08-10 03:30:00,Vaughan,L4L,43.783916,-79.615004
2025-01-06 12:39:00,Vaughan,L4L,43.78207,-79.614895
2025-06-06 16:30:00,Vaughan,L4H,43.809801,-79.614132
2024-10-20 00:11:00,Vaughan,L4H,43.82354,-79.61356
2025-03-07 04:22:00,King,L7B,44.013255,-79.608641
2025-01-20 23:24:00,Vaughan,L4H,43.820949,-79.613008
2025-04-27 04:30:00,Vaughan,L4L,43.784994,-79.613748
2024-10-03 22:14:00,Vaughan,L4H,43.805476,-79.61321
2025-01-04 02:00:00,Vaughan,L4H,43.851467,-79.61135
2025-03-18 13:30:00,Vaughan,L4L,43.787452,-79.612321
2025-06-21 07:00:00,Vaughan,L4H,43.815573,-79.611486
2024-08-11 08:30:00,Vaughan,L4H,43.80251,-79.611522
2024-09-14 02:51:00,Vaughan,L4H,43.80251,-79.611522
2024-10-04 14:06:00,Vaughan,L4H,43.820506,-79.610566
2024-12-03 00:14:00,Vaughan,L4H,43.809529,-79.610636
2024-10-29 16:36:00,Vaughan,L4H,43.804104,-79.610194
2025-07-06 07:00:00,Vaughan,L4H,43.807345,-79.608989
2024-12-25 17:47:00,Vaughan,L4H,43.805581,-79.608082
2025-05-27 05:00:00,Vaughan,L4L,43.78436,-79.608563
2024-11-22 03:00:00,Vaughan,L4H,43.813574,-79.607433
2025-06-12 18:06:00,Vaughan,L4H,43.815697,-79.607085
2024-09-27 16:13:00,Vaughan,L4H,43.795906,-79.606702
2024-10-29 19:02:00,Vaughan,L4H,43.795906,-79.606702
2025-05-29 15:00:00,Vaughan,L4H,43.817571,-79.605417
2025-01-15 23:44:00,Vaughan,L4L,43.782447,-79.605757
2025-07-01 04:00:00,Vaughan,L4H,43.810582,-79.604716
2025-04-11 04:01:00,Vaughan,L4L,43.810757,-79.603846
2025-06-21 08:50:00,Vaughan,L4L,43.792235,-79.60396
2024-12-25 05:00:00,Vaughan,L4L,43.802534,-79.602883
2025-08-02 06:32:00,King,L7B,44.009484,-79.59796
2025-02-28 19:15:00,Vaughan,L4H,43.814323,-79.602396
2025-06-28 23:00:00,Vaughan,L4L,43.813235,-79.601817
2024-07-01 07:05:00,King,L7B,43.998126,-79.597323
2024-09-28 18:27:00,King,L7B,43.990846,-79.595558
2025-08-08 05:45:00,Vaughan,L4L,43.789967,-79.599935
2025-08-06 14:30:00,Vaughan,L4L,43.792591,-79.599249
2025-05-11 16:00:00,Vaughan,L4L,43.813303,-79.596866
2025-05-16 18:00:00,Vaughan,L4H,43.856588,-79.595189
2024-08-09 14:32:00,Vaughan,L4L,43.77757,-79.596995
2024-12-22 23:00:00,Vaughan,L4L,43.77757,-79.596995
2025-03-23 00:29:00,Vaughan,L4L,43.77757,-79.596995
2025-08-01 18:00:00,Vaughan,L4L,43.785015,-79.596628
2025-02-18 21:12:00,Vaughan,L4L,43.759288,-79.597009
2025-05-21 01:00:00,Vaughan,L4L,43.759288,-79.597009
2025-05-16 03:28:00,Vaughan,L4L,43.779121,-79.596041
2024-12-23 05:01:00,Vaughan,L4L,43.805799,-79.595296
2024-10-17 18:01:00,Vaughan,L4H,43.815359,-79.594844
2025-04-28 16:51:00,King,L7B,43.972771,-79.591101
2024-07-19 15:13:00,Vaughan,L4L,43.808625,-79.59449
2024-07-19 21:00:00,Vaughan,L4L,43.784562,-79.59414
2025-03-06 21:30:00,Vaughan,L4L,43.776965,-79.594173
2024-07-01 07:15:00,Vaughan,L4L,43.783983,-79.593993
2025-01-10 01:31:00,Vaughan,L4L,43.783983,-79.593993
2025-01-11 02:36:00,Vaughan,L4L,43.783983,-79.593993
2024-09-05 22:03:00,King,L7B,43.965936,-79.589437
2024-08-30 15:00:00,Vaughan,L4L,43.786669,-79.592176
2024-09-02 05:54:00,Vaughan,L4L,43.786669,-79.592176
2024-07-19 16:00:00,Vaughan,L4L,43.785671,-79.59128
2024-10-28 23:00:00,Vaughan,L4L,43.785671,-79.59128
2025-01-02 19:55:00,Vaughan,L4L,43.785671,-79.59128
2025-07-07 00:19:00,Vaughan,L4L,43.787777,-79.591017
2024-11-26 23:38:00,Vaughan,L4L,43.802451,-79.590161
2025-08-14 19:00:00,Vaughan,L4H,43.873469,-79.58736
2024-07-12 04:01:00,Vaughan,L4L,43.791793,-79.588422
2024-11-01 00:14:00,Vaughan,L4L,43.796654,-79.5883
2025-03-12 14:00:00,Vaughan,L4L,43.80252,-79.586709
2024-09-01 00:54:00,Vaughan,L4L,43.79207,-79.586604
2024-10-19 22:32:00,Vaughan,L4H,43.878572,-79.584139
2025-06-27 04:00:00,Vaughan,L4L,43.779696,-79.58549
2025-02-24 00:18:00,Vaughan,L4L,43.795301,-79.584632
2025-07-10 17:30:00,Vaughan,L4L,43.795301,-79.584632
2024-10-22 04:30:00,Vaughan,L4L,43.781699,-79.584365
2025-07-16 17:56:00,Vaughan,L4L,43.787003,-79.58341
2025-07-27 01:03:00,Vaughan,L4L,43.787003,-79.58341
2025-06-21 03:48:00,Vaughan,L4L,43.793088,-79.582464
2025-06-01 22:00:00,Vaughan,L4L,43.781648,-79.582626
2024-09-10 17:32:00,Vaughan,L4H,43.846055,-79.580867
2024-09-07 04:00:00,Vaughan,L4H,43.847737,-79.579499
2024-12-08 00:15:00,Vaughan,L4H,43.83581,-79.579476
2024-10-17 18:28:00,Vaughan,L4H,43.846463,-79.578928
2024-12-07 00:02:00,Vaughan,L4L,43.788383,-79.579452
2024-12-07 08:00:00,Vaughan,L4H,43.850217,-79.577917
2025-05-18 14:43:00,King,L0G,44.005544,-79.573468
2025-04-27 07:23:00,Vaughan,L4H,43.850165,-79.576851
2025-06-27 00:00:00,Vaughan,L4L,43.78483,-79.578251
2025-08-01 01:37:00,Vaughan,L4L,43.78483,-79.578251
2024-09-02 09:22:00,Vaughan,L4H,43.830654,-79.57694
2025-06-12 07:42:00,Vaughan,L4H,43.830654,-79.57694
2024-10-09 14:01:00,Vaughan,L4L,43.797678,-79.577439
2024-09-13 11:00:00,Vaughan,L4L,43.816567,-79.576725
2025-05-11 22:14:00,Vaughan,L4L,43.816567,-79.576725
2025-03-06 17:37:00,Vaughan,L4L,43.775964,-79.577647
2025-02-17 21:45:00,Vaughan,L4H,43.828274,-79.576379
2025-06-11 11:45:00,Vaughan,L4L,43.795241,-79.576532
2024-10-29 23:25:00,Vaughan,L4H,43.833773,-79.575242
2024-08-21 13:01:00,Vaughan,L7B,43.899893,-79.57353
2024-08-24 00:02:00,Vaughan,L4L,43.819222,-79.57516
2025-02-11 07:54:00,Vaughan,L4L,43.819222,-79.57516
2024-09-16 14:36:00,Vaughan,L4L,43.780038,-79.575498
2025-07-04 15:36:00,Vaughan,L4L,43.765348,-79.575481
2025-05-20 03:49:00,Vaughan,L4H,43.833768,-79.573633
2025-06-27 05:44:00,Vaughan,L4H,43.833768,-79.573633
2025-01-12 02:50:00,Vaughan,L4L,43.795085,-79.573261
2025-01-01 15:30:00,Vaughan,L4H,43.838116,-79.572132
2024-10-18 13:52:00,Vaughan,L4L,43.786871,-79.572799
2025-06-07 09:45:00,Vaughan,L4H,43.844848,-79.570839
2025-01-06 09:43:00,Vaughan,L4L,43.796092,-79.571612
2024-11-22 23:50:00,Vaughan,L4L,43.814795,-79.570939
2025-02-07 20:35:00,Vaughan,L4H,43.852859,-79.569891
2024-09-20 16:09:00,Vaughan,L4L,43.799174,-79.570496
2024-07-05 06:55:00,Vaughan,L4H,43.853052,-79.56893
2025-01-12 18:30:00,King,L0G,43.984257,-79.565228
2025-01-13 19:20:00,Vaughan,L4L,43.804783,-79.56922
2024-11-09 00:00:00,Vaughan,L4L,43.791099,-79.568587
2025-04-11 16:16:00,Vaughan,L4L,43.791099,-79.568587
2025-01-25 23:26:00,Vaughan,L4L,43.798749,-79.567742
2025-08-02 10:37:00,King,L3Y,44.062919,-79.561207
2025-03-27 14:53:00,Vaughan,L4L,43.809073,-79.56725
2024-10-12 00:49:00,Vaughan,L4H,43.851049,-79.566012
2025-08-15 18:55:00,Vaughan,L4H,43.845152,-79.566118
2024-12-18 01:58:00,Vaughan,L4H,43.855798,-79.565747
2025-06-17 08:20:00,Vaughan,L4H,43.855798,-79.565747
2024-12-13 09:30:00,King,L7B,43.959594,-79.563048
2024-10-26 00:02:00,Vaughan,L4H,43.826233,-79.565899
2024-09-09 18:07:00,Vaughan,L4L,43.815133,-79.566149
2024-11-04 23:21:00,Vaughan,L4L,43.819118,-79.565917
2024-08-11 15:30:00,Vaughan,L4L,43.821002,-79.565771
2025-04-01 23:02:00,Vaughan,L4H,43.834167,-79.565409
2024-07-31 08:15:00,King,L3Y,44.05524,-79.559313
2025-03-22 04:04:00,Vaughan,L4L,43.821243,-79.564606
2025-08-01 04:00:00,Vaughan,L4L,43.821243,-79.564606
2024-10-18 16:43:00,Vaughan,L4L,43.811954,-79.563787
2025-08-01 01:30:00,Vaughan,L4L,43.811954,-79.563787
2024-11-30 01:10:00,Vaughan,L4H,43.842269,-79.562857
2024-07-07 04:00:00,Vaughan,L4L,43.809196,-79.563228
2024-10-04 16:27:00,Vaughan,L4L,43.795479,-79.563468
2024-07-02 14:06:00,Vaughan,L4L,43.825105,-79.562713
2024-07-07 02:39:00,Vaughan,L6A,43.868577,-79.561242
2024-09-12 21:14:00,King,L3Y,44.037908,-79.556435
2025-04-25 23:00:00,Vaughan,L4H,43.832379,-79.561191
2025-03-08 05:00:00,Vaughan,L4L,43.795658,-79.561898
2025-03-08 01:52:00,Vaughan,L4H,43.828065,-79.561005
2024-09-12 23:07:00,Vaughan,L4L,43.820034,-79.56102
2025-02-08 07:30:00,Vaughan,L4L,43.820034,-79.56102
2024-08-25 23:21:00,Vaughan,L4H,43.866986,-79.559701
2024-11-24 03:00:00,Vaughan,L4L,43.82491,-79.560581
2024-09-07 20:21:00,Vaughan,L4H,43.852651,-79.559607
2024-07-17 14:33:00,Vaughan,L4L,43.823116,-79.560133
2025-03-21 00:00:00,Vaughan,L4L,43.817401,-79.560108
2024-10-19 01:29:00,Vaughan,L4L,43.797083,-79.560449
2024-07-10 16:00:00,Vaughan,L4H,43.837551,-79.558908
2024-11-27 23:46:00,Vaughan,L4L,43.807989,-79.559537
2025-08-12 14:51:00,Vaughan,L4L,43.807989,-79.559537
2024-07-10 14:20:00,Vaughan,L4L,43.81282,-79.559186
2025-04-27 07:48:00,Vaughan,L4H,43.860903,-79.556994
2024-08-22 16:30:00,Vaughan,L4L,43.822628,-79.557853
2025-03-14 21:00:00,Vaughan,L4L,43.801308,-79.558103
2024-11-13 21:30:00,Vaughan,L4L,43.806686,-79.557965
2025-04-10 12:00:00,Vaughan,L4H,43.839856,-79.556982
2024-10-16 22:00:00,Vaughan,L4H,43.839276,-79.556849
2024-12-15 22:30:00,King,L7B,43.935723,-79.554346
2025-05-27 14:00:00,Vaughan,L4H,43.859815,-79.55612
2025-06-05 17:50:00,Vaughan,L4L,43.820055,-79.557062
2025-08-15 16:30:00,Vaughan,L4H,43.861735,-79.555362
2024-12-06 14:28:00,Vaughan,L4H,43.852697,-79.555327
2024-10-27 13:07:00,Vaughan,L4L,43.810704,-79.556117
2025-07-19 04:36:00,Vaughan,L4L,43.798176,-79.55587
2024-07-17 03:48:00,King,L0G,44.012276,-79.550126
2025-04-06 01:40:00,King,L0G,44.012276,-79.550126
2024-12-04 17:00:00,Vaughan,L4L,43.810961,-79.554817
2024-09-04 15:00:00,Vaughan,L4L,43.810363,-79.554694
2025-03-12 22:30:00,Vaughan,L4L,43.805264,-79.554704
2025-03-05 00:09:00,Vaughan,L4H,43.838825,-79.553621
2024-11-12 00:30:00,Vaughan,L4H,43.843679,-79.553358
2025-02-26 07:50:00,King,L6A,43.910139,-79.550951
2024-09-15 04:00:00,Vaughan,L4H,43.833919,-79.552763
2025-07-29 03:06:00,Vaughan,L4H,43.843751,-79.551529
2024-12-22 05:29:00,Vaughan,L4H,43.828888,-79.551685
2024-12-22 05:29:00,Vaughan,L4H,43.828888,-79.551685
2024-11-03 00:54:00,Vaughan,L4L,43.795766,-79.552102
2025-04-12 05:46:00,King,L3Z,44.098013,-79.544066
2024-10-05 22:00:00,Vaughan,L6A,43.852497,-79.548301
2025-01-11 23:30:00,Vaughan,L6A,43.862176,-79.546938
2025-04-24 01:38:00,King,L7B,43.983156,-79.54313
2025-03-30 16:16:00,Vaughan,L4L,43.789394,-79.547471
2024-11-22 19:00:00,Vaughan,L6A,43.860252,-79.545388
2025-05-15 18:00:00,Vaughan,L6A,43.862522,-79.545253
2025-05-02 00:00:00,Vaughan,L6A,43.859185,-79.541747
2025-06-22 03:00:00,Vaughan,L4K,43.830891,-79.541006
2024-07-10 16:32:00,Vaughan,L6A,43.860667,-79.538736
2025-05-18 08:47:00,King,L6A,43.913587,-79.536906
2024-07-02 15:38:00,King,L7B,43.936474,-79.534518
2025-02-06 18:35:00,Vaughan,L6A,43.858125,-79.534267
2025-07-21 00:03:00,Vaughan,L6A,43.843752,-79.534092
2025-05-27 19:04:00,King,L7B,43.921151,-79.531716
2024-07-08 13:49:00,Vaughan,L6A,43.858367,-79.533203
2024-10-04 16:00:00,Vaughan,L6A,43.84221,-79.533318
2024-12-21 00:00:00,King,L7B,43.937206,-79.530461
2025-01-13 05:00:00,Vaughan,L4K,43.792075,-79.533504
2024-08-01 22:58:00,Vaughan,L4K,43.827617,-79.531896
2025-02-15 11:25:00,King,L7B,43.941936,-79.526581
2025-02-15 11:33:00,King,L7B,43.941936,-79.526581
2025-01-13 00:58:00,Vaughan,L4K,43.797606,-79.530063
2024-10-23 01:56:00,King,L7B,43.923589,-79.526834
2025-07-27 00:00:00,Vaughan,L6A,43.854672,-79.528108
2025-04-25 20:00:00,Vaughan,L6A,43.83818,-79.528024
2025-05-01 04:01:00,Vaughan,L6A,43.838095,-79.526254
2025-05-02 01:11:00,Vaughan,L6A,43.838095,-79.526254
2024-11-18 14:46:00,King,L7B,43.923312,-79.523904
2024-09-02 19:37:00,Vaughan,L6A,43.910721,-79.523253
2024-12-21 14:00:00,King,L7B,43.920061,-79.522965
2024-10-30 20:13:00,Vaughan,L6A,43.871768,-79.524157
2024-10-09 18:23:00,King,L7B,43.921672,-79.521581
2024-12-10 05:01:00,King,L7B,43.924479,-79.520578
2025-06-01 03:57:00,King,L7B,43.924479,-79.520578
2025-06-02 00:16:00,King,L7B,43.924479,-79.520578
2025-05-03 15:00:00,King,L7B,43.92325,-79.520038
2025-06-12 14:27:00,King,L7B,43.928078,-79.519792
2024-10-26 03:05:00,Vaughan,L6A,43.862664,-79.521079
2024-10-09 15:45:00,Vaughan,L6A,43.866765,-79.520224
2024-09-10 04:24:00,Vaughan,L4K,43.795907,-79.521744
2024-11-21 05:00:00,Vaughan,L4K,43.795907,-79.521744
2025-01-29 05:00:00,Vaughan,L4K,43.795907,-79.521744
2025-06-17 22:40:00,Vaughan,L4K,43.794987,-79.521308
2024-10-12 04:01:00,Vaughan,L6A,43.848804,-79.519657
2025-06-28 03:30:00,Vaughan,L4K,43.840704,-79.517553
2025-07-06 08:09:00,King,L7B,43.928981,-79.51522
2025-07-05 02:23:00,King,L7B,43.924992,-79.514919
2024-10-25 15:00:00,Vaughan,L6A,43.849609,-79.516761
2024-09-27 04:11:00,East Gwillimbury,L9N,44.106282,-79.509444
2025-07-09 16:15:00,Vaughan,L6A,43.85081,-79.515716
2025-06-22 04:00:00,Vaughan,L4K,43.83485,-79.515655
2024-07-26 17:00:00,Vaughan,L6A,43.85387,-79.512148
2025-07-18 04:23:00,East Gwillimbury,L9N,44.097104,-79.506026
2025-03-16 19:00:00,East Gwillimbury,L9N,44.107088,-79.505655
2025-03-01 21:00:00,King,L7B,43.952176,-79.509229
2025-03-28 21:00:00,East Gwillimbury,L9N,44.105166,-79.505106
2024-12-19 12:00:00,Vaughan,L4K,43.835988,-79.511633
2025-06-06 16:24:00,Vaughan,L4K,43.835988,-79.511633
2024-10-08 15:15:00,Vaughan,L6A,43.849424,-79.511148
2024-08-05 14:26:00,King,L7B,43.927108,-79.508337
2024-07-05 04:01:00,East Gwillimbury,L9N,44.110581,-79.50365
2024-09-26 21:17:00,Newmarket,L3X,44.045502,-79.504479
2025-02-06 22:10:00,Newmarket,L3X,44.050782,-79.503538
